,Unnamed: 0,List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,State Association,DOB,Age,Specialism,Unnamed: 10,Unnamed: 11,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),"2024
Team","2024
IPL",C/U/A,"Reserve Price Rs
Lakh",Player Name
131,150,151,22,USP2,Digvesh,Singh,India,DDCA,15/12/1999,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,30,Digvesh Singh
132,151,152,22,USP2,Prashant,Solanki,India,MACA,22/02/2000,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,,2.0,CSK,CSK,0.0,Uncapped,30,Prashant Solanki
133,153,154,23,BA3,Finn,Allen,New Zealand,,22/04/1999,25,BATTER,RHB,,,22.0,47.0,0.0,RCB,,,Capped,200,Finn Allen
134,154,155,23,BA3,Dewald,Brevis,South Africa,,29/04/2003,21,BATTER,RHB,RIGHT ARM Leg Spin,,,2.0,10.0,MI,MI,3.0,Capped,75,Dewald Brevis
135,155,156,23,BA3,Ben,Duckett,England,,17/10/1994,30,BATTER,LHB,,29.0,16.0,12.0,,,,,Capped,200,Ben Duckett
136,156,157,23,BA3,Manish,Pandey,India,KSCA,10/09/1989,35,BATTER,RHB,,,29.0,39.0,171.0,"MI,RCB,PWI, SRH, LSG,DC,KKR",KKR,1.0,Capped,75,Manish Pandey
137,157,158,23,BA3,Rilee,Rossouw,South Africa,,09/10/1989,35,BATTER,LHB,,,36.0,29.0,22.0,"RCB,DC,PBKS",PBKS,8.0,Capped,200,Rilee Rossouw
138,158,159,23,BA3,Sherfane,Rutherford,West Indies,,15/08/1998,26,BATTER,LHB,RIGHT ARM Fast Medium,,8.0,24.0,10.0,"DC,MI,RR,RCB,KKR",KKR,0.0,Capped,150,Sherfane Rutherford
139,159,160,23,BA3,Ashton,Turner,Australia,,25/01/1993,32,BATTER,RHB,RIGHT ARM Off Spin,,9.0,19.0,6.0,"RR,LSG",LSG,2.0,Capped,100,Ashton Turner
140,160,161,23,BA3,James,Vince,England,,14/03/1991,34,BATTER,RHB,,13.0,25.0,17.0,,,,,Capped,200,James Vince
141,161,162,24,AL3,Shahbaz,Ahamad,India,CAB,11/12/1994,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,3.0,2.0,55.0,"RCB,SRH",SRH,16.0,Capped,100,Shahbaz Ahamad
142,162,163,24,AL3,Moeen,Ali,England,,18/06/1987,37,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,68.0,138.0,92.0,67.0,"RCB,CSK",CSK,8.0,Capped,200,Moeen Ali
143,163,164,24,AL3,Tim,David,Australia,,16/03/1996,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,4.0,51.0,38.0,"RCB,MI",MI,13.0,Capped,200,Tim David
144,164,165,24,AL3,Deepak,Hooda,India,RCA,19/04/1995,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,10.0,21.0,118.0,"RR,SRH,PBKS,LSG",LSG,11.0,Capped,75,Deepak Hooda
145,165,166,24,AL3,Will,Jacks,England,,21/11/1998,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,2.0,13.0,18.0,8.0,RCB,RCB,8.0,Capped,200,Will Jacks
146,166,167,24,AL3,Azmatullah,Omarzai,Afghanistan,,24/03/2000,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,30.0,44.0,7.0,GT,GT,7.0,Capped,150,Azmatullah Omarzai
147,167,168,24,AL3,R.,Sai Kishore,India,TNCA,06/11/1996,28,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,,,3.0,10.0,"CSK,GT",GT,5.0,Capped,75,R. Sai Kishore
148,168,169,24,AL3,Romario,Shepherd,West Indies,,26/11/1994,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,,33.0,46.0,10.0,"SRH,LSG,MI",MI,6.0,Capped,150,Romario Shepherd
149,169,170,25,WK3,Tom,Banton,England,,11/11/1998,26,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,6.0,14.0,2.0,KKR,,,Capped,200,Tom Banton
150,170,171,25,WK3,Sam,Billings,England,,15/06/1991,33,WICKETKEEPER,RHB,,3.0,28.0,37.0,30.0,"CSK,DC,KKR",,,Capped,150,Sam Billings
151,171,172,25,WK3,Jordan,Cox,England,,21/10/2000,24,WICKETKEEPER,RHB,,,2.0,2.0,,,,,Capped,125,Jordan Cox
152,172,173,25,WK3,Ben,McDermott,Australia,,12/12/1994,30,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,5.0,25.0,,,,,Capped,75,Ben McDermott
153,173,174,25,WK3,Kusal,Mendis,Sri Lanka,,02/02/1995,30,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,67.0,134.0,73.0,,,,,Capped,75,Kusal Mendis
154,174,175,25,WK3,Kusal,Perera,Sri Lanka,,17/08/1990,34,WICKETKEEPER,LHB,,22.0,116.0,72.0,2.0,RR,,,Capped,75,Kusal Perera
155,175,176,25,WK3,Josh,Philippe,Australia,,01/06/1997,27,WICKETKEEPER,RHB,,,3.0,12.0,5.0,RCB,,,Capped,75,Josh Philippe
156,176,177,25,WK3,Tim,Seifert,New Zealand,,14/12/1994,30,WICKETKEEPER,RHB,,,3.0,61.0,3.0,"KKR,DC",,,Capped,125,Tim Seifert
157,177,178,26,FA3,Nandre,Burger,South Africa,,11/08/1995,29,BOWLER,LHB,LEFT ARM Fast,3.0,5.0,2.0,6.0,RR,RR,6.0,Capped,125,Nandre Burger
158,178,179,26,FA3,Spencer,Johnson,Australia,,16/12/1995,29,BOWLER,LHB,LEFT ARM Fast,,1.0,5.0,5.0,GT,GT,5.0,Capped,200,Spencer Johnson
159,179,180,26,FA3,Umran,Malik,India,JKCA,22/11/1999,25,BOWLER,RHB,RIGHT ARM Fast,,10.0,8.0,26.0,SRH,SRH,1.0,Capped,75,Umran Malik
160,180,181,26,FA3,Mustafizur,Rahman,Bangladesh,,06/09/1995,29,BOWLER,LHB,LEFT ARM Fast,15.0,104.0,106.0,57.0,"SRH,MI,RR,DC,CSK",CSK,9.0,Capped,200,Mustafizur Rahman
161,181,182,26,FA3,Ishant,Sharma,India,DDCA,02/09/1988,36,BOWLER,RHB,RIGHT ARM Fast,105.0,80.0,14.0,109.0,"KKR,DCH,SRH,RPS,PBKS,DC",DC,9.0,Capped,75,Ishant Sharma
162,182,183,26,FA3,Nuwan,Thushara,Sri Lanka,,06/08/1994,30,BOWLER,RHB,RIGHT ARM Fast,,,13.0,7.0,MI,MI,7.0,Capped,75,Nuwan Thushara
163,183,184,26,FA3,Naveen,Ul Haq,Afghanistan,,23/09/1999,25,BOWLER,RHB,RIGHT ARM Medium,,14.0,45.0,18.0,LSG,LSG,10.0,Capped,200,Naveen Ul Haq
164,184,185,26,FA3,Jaydev,Unadkat,India,SCA,18/10/1991,33,BOWLER,RHB,LEFT ARM Fast Medium,4.0,8.0,10.0,105.0,"RCB,DC,KKR,RPS,RR,MI,LSG,SRH",SRH,11.0,Capped,100,Jaydev Unadkat
165,185,186,26,FA3,Umesh,Yadav,India,VCA,25/10/1987,37,BOWLER,RHB,RIGHT ARM Fast Medium,57.0,75.0,9.0,148.0,"RCB,DC,KKR,GT",GT,7.0,Capped,200,Umesh Yadav
166,186,187,27,SP3,Rishad,Hossain,Bangladesh,,15/07/2002,22,BOWLER,RHB,RIGHT ARM Leg Spin,,3.0,27.0,,,,,Capped,75,Rishad Hossain
167,187,188,27,SP3,Zahir Khan,Pakten,Afghanistan,,20/12/1998,26,BOWLER,LHB,LEFT ARM Slow Unorthodox,5.0,1.0,4.0,0.0,RR,,,Capped,75,Zahir Khan Pakten
168,188,189,27,SP3,Nqabayomzi,Peter,South Africa,,09/12/2001,23,BOWLER,RHB,RIGHT ARM Leg Spin,,2.0,6.0,,,,,Capped,75,Nqabayomzi Peter
169,189,190,27,SP3,Tanveer,Sangha,Australia,,26/11/2001,23,BOWLER,RHB,RIGHT ARM Leg Spin,,2.0,7.0,,,,,Capped,75,Tanveer Sangha
170,190,191,27,SP3,Tabraiz,Shamsi,South Africa,,18/02/1990,35,BOWLER,RHB,LEFT ARM Slow Unorthodox,2.0,51.0,70.0,5.0,"RCB,RR",,,Capped,200,Tabraiz Shamsi
171,191,192,27,SP3,Jeffery,Vandersay,Sri Lanka,,05/02/1990,35,BOWLER,RHB,RIGHT ARM Leg Spin,1.0,25.0,14.0,,,,,Capped,75,Jeffery Vandersay
172,192,193,28,UBA3,Sachin,Baby,India,KCA,18/12/1988,36,BATTER,LHB,RIGHT ARM Off Spin,,,,19.0,"RR,SRH,RCB",,,Uncapped,30,Sachin Baby
173,193,194,28,UBA3,Priyam,Garg,India,UPCA,30/11/2000,24,BATTER,RHB,,,,,23.0,"SRH,DC",,,Uncapped,30,Priyam Garg
174,194,195,28,UBA3,Harnoor,Pannu,India,PCA,30/01/2003,22,BATTER,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,30,Harnoor Pannu
175,195,196,28,UBA3,Smaran,Ravichandran,India,KSCA,05/05/2003,21,BATTER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30,Smaran Ravichandran
176,196,197,28,UBA3,Shashwat,Rawat,India,BCA,06/04/2001,24,BATTER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,30,Shashwat Rawat
177,197,198,28,UBA3,Andre,Siddarth,India,TNCA,28/08/2006,18,BATTER,RHB,,,,,,,,,Uncapped,30,Andre Siddarth
178,198,199,28,UBA3,Avneesh,Sudha,India,CAU,20/11/2001,23,BATTER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30,Avneesh Sudha
179,200,201,29,UAL3,Yudhvir,Charak,India,JKCA,13/09/1997,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,5.0,"MI,LSG",LSG,2.0,Uncapped,30,Yudhvir Charak
180,201,202,29,UAL3,Rishi,Dhawan,India,HPCA,19/02/1990,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,39.0,"MI,KKR,PBKS",PBKS,1.0,Uncapped,30,Rishi Dhawan
181,202,203,29,UAL3,Rajvardhan,Hangargekar,India,MACA,10/11/2002,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,2.0,CSK,CSK,0.0,Uncapped,30,Rajvardhan Hangargekar
182,203,204,29,UAL3,Tanush,Kotian,India,MCA,16/10/1998,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,1.0,RR,RR,1.0,Uncapped,30,Tanush Kotian
183,204,205,29,UAL3,Arshin,Kulkarni,India,MACA,15/02/2005,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,2.0,LSG,LSG,2.0,Uncapped,30,Arshin Kulkarni
184,205,206,29,UAL3,Shams,Mulani,India,MCA,13/03/1997,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,2.0,MI,MI,2.0,Uncapped,30,Shams Mulani
185,206,207,29,UAL3,Shivam,Singh,India,TNCA,25/11/1995,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,1.0,PBKS,PBKS,1.0,Uncapped,30,Shivam Singh
186,207,208,29,UAL3,Lalit,Yadav,India,DDCA,03/01/1997,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,27.0,DC,DC,2.0,Uncapped,30,Lalit Yadav
187,209,210,30,UWK3,L.R,Chethan,India,KSCA,25/05/2000,24,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30,L.R Chethan
188,210,211,30,UWK3,Aryaman Singh,Dhaliwal,India,PCA,30/04/2002,22,WICKETKEEPER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,30,Aryaman Singh Dhaliwal
189,212,213,30,UWK3,Sanskar,Rawat,India,CAU,14/06/2005,19,WICKETKEEPER,LHB,,,,,,,,,Uncapped,30,Sanskar Rawat
190,213,214,30,UWK3,Bipin,Saurabh,India,BICA,20/11/1999,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30,Bipin Saurabh
191,214,215,30,UWK3,Tanay,Thyagarajann,India,HYCA,15/11/1995,29,WICKETKEEPER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,30,Tanay Thyagarajann
192,215,216,31,UFA3,Money,Grewal,India,DDCA,04/10/2000,24,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,30,Money Grewal
193,216,217,31,UFA3,Ashwani,Kumar,India,PCA,29/08/2001,23,BOWLER,LHB,LEFT ARM Fast,,,,,,,,Uncapped,30,Ashwani Kumar
194,217,218,31,UFA3,Ishan,Porel,India,CAB,05/09/1998,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,30,Ishan Porel
195,218,219,31,UFA3,Abhilash,Shetty,India,KSCA,06/06/1998,26,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,30,Abhilash Shetty
196,219,220,31,UFA3,Akash,Singh,India,BCA,26/04/2002,22,BOWLER,RHB,LEFT ARM Fast,,,,,,,,Uncapped,30,Akash Singh
197,220,221,31,UFA3,Gurjapneet,Singh,India,TNCA,08/11/1998,26,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,30,Gurjapneet Singh
198,221,222,31,UFA3,Basil,Thampi,India,KCA,11/09/1993,31,BOWLER,RHB,RIGHT ARM Fast,,,,25.0,"GL,SRH,MI",,,Uncapped,30,Basil Thampi
199,222,223,32,USP3,Murugan,Ashwin,India,JKCA,08/09/1990,34,BOWLER,RHB,RIGHT ARM Leg Spin,,,,44.0,"RPS,DC,RCB,PBKS,MI,RR",,,Uncapped,30,Murugan Ashwin
200,223,224,32,USP3,Shreyas,Chavan,India,MACA,01/09/2003,21,BOWLER,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,30,Shreyas Chavan
201,224,225,32,USP3,Chintal,Gandhi,India,BCA,25/08/1994,30,BOWLER,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,30,Chintal Gandhi
202,225,226,32,USP3,Raghav,Goyal,India,HCA,20/06/2001,23,BOWLER,LHB,LEFT ARM Slow Unorthodox,,,,1.0,MI,,,Uncapped,30,Raghav Goyal
203,226,227,32,USP3,Jagadeesha,Suchith,India,NCA,16/01/1994,31,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,22.0,"MI,DC,PBKS,SRH",,,Uncapped,30,Jagadeesha Suchith
204,227,228,32,USP3,Roshan,Waghsare,India,MACA,07/09/2003,21,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,,,,,,Uncapped,30,Roshan Waghsare
205,228,229,32,USP3,Bailapudi,Yeswanth,India,ACA,19/03/2005,20,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,30,Bailapudi Yeswanth
206,229,230,33,BA4,Sediqullah,Atal,Afghanistan,,12/08/2001,23,BATTER,LHB,,,,6.0,,,,,Capped,75,Sediqullah Atal
207,230,231,33,BA4,Matthew,Breetzke,South Africa,,03/11/1998,26,BATTER,RHB,,,,8.0,,,,,Capped,75,Matthew Breetzke
208,231,232,33,BA4,Mark,Chapman,New Zealand,,27/06/1994,30,BATTER,LHB,LEFT ARM Slow Orthodox,,23.0,76.0,,,,,Capped,150,Mark Chapman
209,232,233,33,BA4,Brandon,King,West Indies,,16/12/1994,30,BATTER,RHB,RIGHT ARM Off Spin,,37.0,58.0,,,,,Capped,75,Brandon King
210,233,234,33,BA4,Evin,Lewis,West Indies,,27/12/1991,33,BATTER,LHB,,,59.0,56.0,27.0,"MI,RR,LSG",,,Capped,200,Evin Lewis
211,234,235,33,BA4,Pathum,Nissanka,Sri Lanka,,18/05/1998,26,BATTER,RHB,RIGHT ARM Off Spin,13.0,58.0,57.0,,,,,Capped,75,Pathum Nissanka
212,235,236,33,BA4,Bhanuka,Rajapaksa,Sri Lanka,,24/10/1991,33,BATTER,LHB,,,5.0,40.0,13.0,PBKS,,,Capped,75,Bhanuka Rajapaksa
213,236,237,33,BA4,Steve,Smith,Australia,,02/06/1989,35,BATTER,RHB,,109.0,163.0,67.0,103.0,"PWI,RPS,RR,DC",,,Capped,200,Steve Smith
214,237,238,34,AL4,Gus,Atkinson,England,,19/01/1998,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,8.0,9.0,3.0,0.0,KKR,KKR,0.0,Capped,200,Gus Atkinson
215,238,239,34,AL4,Tom,Curran,England,,12/03/1995,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,2.0,28.0,30.0,13.0,"KKR,RR,DC,RCB",RCB,0.0,Capped,200,Tom Curran
216,239,240,34,AL4,Krishnappa,Gowtham,India,KSCA,20/10/1988,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,1.0,,36.0,"MI,RR,PBKS,CSK,LSG",LSG,1.0,Capped,100,Krishnappa Gowtham
217,240,241,34,AL4,Mohammad,Nabi,Afghanistan,,01/01/1985,40,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,3.0,164.0,129.0,24.0,"SRH,MI,KKR",MI,2.0,Capped,150,Mohammad Nabi
218,241,242,34,AL4,Gulbadin,Naib,Afghanistan,,04/06/1991,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,83.0,73.0,2.0,DC,DC,2.0,Capped,100,Gulbadin Naib
219,242,243,34,AL4,Sikandar,Raza,Zimbabwe,,24/04/1986,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,17.0,142.0,96.0,9.0,PBKS,PBKS,2.0,Capped,125,Sikandar Raza
220,243,244,34,AL4,Mitchell,Santner,New Zealand,,05/02/1992,33,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,29.0,104.0,104.0,18.0,CSK,CSK,3.0,Capped,200,Mitchell Santner
221,244,245,34,AL4,Jayant,Yadav,India,HCA,22/01/1990,35,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,6.0,2.0,,20.0,"DC,MI,GT",GT,0.0,Capped,75,Jayant Yadav
222,245,246,35,WK4,Johnson,Charles,West Indies,,14/01/1989,36,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,58.0,57.0,,,,,Capped,75,Johnson Charles
223,246,247,35,WK4,Litton,Das,Bangladesh,,13/10/1994,30,WICKETKEEPER,RHB,RIGHT ARM Off Spin,46.0,91.0,92.0,1.0,KKR,,,Capped,75,Litton Das
224,247,248,35,WK4,Andre,Fletcher,West Indies,,28/11/1987,37,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,25.0,58.0,,,,,Capped,75,Andre Fletcher
225,248,249,35,WK4,Tom,Latham,New Zealand,,02/04/1992,33,WICKETKEEPER,LHB,,84.0,147.0,26.0,,,,,Capped,150,Tom Latham
226,249,250,35,WK4,Ollie,Pope,England,,02/01/1998,27,WICKETKEEPER,RHB,,52.0,,,,,,,Capped,75,Ollie Pope
227,250,251,35,WK4,Kyle,Verreynne,South Africa,,12/05/1997,27,WICKETKEEPER,RHB,,20.0,17.0,,,,,,Capped,75,Kyle Verreynne
228,251,252,36,FA4,Fazalhaq,Farooqi,Afghanistan,,22/09/2000,24,BOWLER,RHB,LEFT ARM Fast Medium,,34.0,42.0,7.0,SRH,SRH,0.0,Capped,200,Fazalhaq Farooqi
229,252,253,36,FA4,Richard,Gleeson,England,,02/12/1987,37,BOWLER,RHB,RIGHT ARM Fast,,,6.0,2.0,CSK,CSK,2.0,Capped,75,Richard Gleeson
230,253,254,36,FA4,Matt,Henry,New Zealand,,14/12/1991,33,BOWLER,RHB,RIGHT ARM Fast Medium,26.0,82.0,18.0,6.0,"PBKS,LSG",LSG,4.0,Capped,200,Matt Henry
231,254,255,36,FA4,Alzarri,Joseph,West Indies,,20/11/1996,28,BOWLER,RHB,RIGHT ARM Fast,35.0,72.0,32.0,22.0,"MI,GT,RCB",RCB,3.0,Capped,200,Alzarri Joseph
232,255,256,36,FA4,Kwena,Maphaka,South Africa,,08/04/2006,18,BOWLER,LHB,LEFT ARM Fast,,,3.0,2.0,MI,MI,2.0,Capped,75,Kwena Maphaka
233,256,257,36,FA4,Kuldeep,Sen,India,MPCA,22/10/1996,28,BOWLER,RHB,RIGHT ARM Fast,,1.0,,12.0,RR,RR,3.0,Capped,75,Kuldeep Sen
234,257,258,36,FA4,Reece,Topley,England,,21/02/1994,31,BOWLER,RHB,LEFT ARM Fast,,29.0,34.0,5.0,RCB,RCB,4.0,Capped,75,Reece Topley
235,258,259,36,FA4,Lizaad,Williams,South Africa,,01/10/1993,31,BOWLER,LHB,RIGHT ARM Fast,2.0,7.0,15.0,2.0,DC,DC,2.0,Capped,75,Lizaad Williams
236,259,260,36,FA4,Luke,Wood,England,,02/08/1995,29,BOWLER,LHB,LEFT ARM Fast,,2.0,5.0,2.0,MI,MI,2.0,Capped,75,Luke Wood
237,260,261,37,UBA4,Sachin,Dhas,India,MACA,03/02/2005,20,BATTER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30,Sachin Dhas
238,261,262,37,UBA4,Leus,Du Plooy,England,,12/01/1995,30,BATTER,LHB,,,,,,,,,Uncapped,50,Leus Du Plooy
239,263,264,37,UBA4,Rohan,Kunnummal,India,KCA,10/05/1998,26,BATTER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30,Rohan Kunnummal
240,264,265,37,UBA4,Ayush,Pandey,India,CSCSCA,19/09/2003,21,BATTER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30,Ayush Pandey
241,265,266,37,UBA4,Akshat,Raghuwanshi,India,MPCA,15/09/2003,21,BATTER,RHB,,,,,,,,,Uncapped,30,Akshat Raghuwanshi
242,266,267,37,UBA4,Shoun,Roger,India,KCA,16/10/2002,22,BATTER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,40,Shoun Roger
243,267,268,37,UBA4,Virat,Singh,India,JSCA,08/12/1997,27,BATTER,LHB,RIGHT ARM Off Spin,,,,3.0,SRH,,,Uncapped,30,Virat Singh
244,268,269,38,UAL4,Priyansh,Arya,India,DDCA,18/09/2001,23,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30,Priyansh Arya
245,270,271,38,UAL4,Pravin,Dubey,India,KSCA,01/07/1993,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,4.0,DC,DC,0.0,Uncapped,30,Pravin Dubey
246,272,273,38,UAL4,Prerak,Mankad,India,SCA,23/04/1994,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,5.0,"PBKS,LSG",LSG,0.0,Uncapped,30,Prerak Mankad
247,273,274,38,UAL4,Vipraj,Nigam,India,UPCA,28/07/2004,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,30,Vipraj Nigam
248,276,277,39,UWK4,Salil,Arora,India,PCA,07/11/2002,22,WICKETKEEPER,RHB,,,,,,,,,Uncapped,30,Salil Arora
249,277,278,39,UWK4,Dinesh,Bana,India,HCA,15/09/2004,20,WICKETKEEPER,RHB,,,,,,,,,Uncapped,30,Dinesh Bana
250,278,279,39,UWK4,Ajitesh,Guruswamy,India,TNCA,26/09/2002,22,WICKETKEEPER,RHB,,,,,,,,,Uncapped,30,Ajitesh Guruswamy
251,279,280,39,UWK4,Narayan,Jagadeesan,India,TNCA,24/12/1995,29,WICKETKEEPER,RHB,,,,,13.0,"CSK,KKR",,,Uncapped,30,Narayan Jagadeesan
252,280,281,39,UWK4,Shrijith,Krishnan,India,KSCA,12/08/1996,28,WICKETKEEPER,LHB,,,,,,,,,Uncapped,30,Shrijith Krishnan
253,281,282,39,UWK4,Michael,Pepper,England,,25/06/1998,26,WICKETKEEPER,RHB,,,,,,,,,Uncapped,50,Michael Pepper
254,282,283,39,UWK4,Vishnu,Solanki,India,BCA,15/10/1992,32,WICKETKEEPER,RHB,,,,,,,,,Uncapped,30,Vishnu Solanki
255,283,284,40,UFA4,K.M,Asif,India,KCA,24/07/1993,31,BOWLER,RHB,RIGHT ARM Fast,,,,7.0,"CSK,RR",,,Uncapped,30,K.M Asif
256,284,285,40,UFA4,Akhil,Chaudhary,India,DDCA,15/07/2002,22,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,30,Akhil Chaudhary
257,285,286,40,UFA4,Himanshu,Chauhan,India,DDCA,18/01/2003,22,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,30,Himanshu Chauhan
258,287,288,40,UFA4,Nishanth,Saranu,India,HYCA,03/03/2005,20,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,30,Nishanth Saranu
259,288,289,40,UFA4,Kuldip,Yadav,India,DDCA,15/10/1996,28,BOWLER,LHB,LEFT ARM Fast,,,,3.0,RR,,,Uncapped,30,Kuldip Yadav
260,289,290,40,UFA4,Prithviraj,Yarra,India,ACA,20/02/1998,27,BOWLER,LHB,LEFT ARM Fast,,,,2.0,"KKR,SRH",,,Uncapped,30,Prithviraj Yarra
261,290,291,41,USP4,Shubham,Agrawal,India,CSCSCA,21/11/1993,31,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,30,Shubham Agrawal
262,291,292,41,USP4,Jass Inder,Baidwan,India,PCA,14/12/1996,28,BOWLER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30,Jass Inder Baidwan
263,292,293,41,USP4,Jasmer,Dhankhar,India,UPCA,16/10/1998,26,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,30,Jasmer Dhankhar
264,293,294,41,USP4,Pulkit,Narang,India,SSCB,18/06/1994,30,BOWLER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30,Pulkit Narang
265,294,295,41,USP4,Saumy,Pandey,India,MPCA,04/11/2004,20,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,30,Saumy Pandey
266,295,296,41,USP4,Mohit,Rathee,India,SSCB,13/01/1999,26,BOWLER,RHB,RIGHT ARM Leg Spin,,,,1.0,PBKS,,,Uncapped,30,Mohit Rathee
267,296,297,41,USP4,Himanshu,Singh,India,MCA,24/07/2003,21,BOWLER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30,Himanshu Singh
268,297,298,42,BA5,Towhid,Hridoy,Bangladesh,,04/12/2000,24,BATTER,RHB,RIGHT ARM Off Spin,,30.0,32.0,,,,,Capped,75,Towhid Hridoy
269,298,299,42,BA5,Mikyle,Louis,West Indies,,19/08/2000,24,BATTER,RHB,,5.0,,,,,,,Capped,75,Mikyle Louis
270,299,300,42,BA5,Harry,Tector,Ireland,,06/12/1999,25,BATTER,RHB,RIGHT ARM Off Spin,6.0,46.0,81.0,,,,,Capped,75,Harry Tector
271,300,301,42,BA5,Rassie,Van Der Dussen,South Africa,,07/02/1989,36,BATTER,RHB,RIGHT ARM Off Spin,15.0,65.0,48.0,3.0,RR,,,Capped,200,Rassie Van Der Dussen
272,301,302,42,BA5,Will,Young,New Zealand,,22/11/1992,32,BATTER,RHB,,19.0,31.0,20.0,,,,,Capped,125,Will Young
273,302,303,42,BA5,Najibullah,Zadran,Afghanistan,,28/02/1993,32,BATTER,LHB,,,92.0,107.0,,,,,Capped,75,Najibullah Zadran
274,303,304,42,BA5,Ibrahim,Zadran,Afghanistan,,12/01/2001,24,BATTER,RHB,RIGHT ARM Medium,7.0,33.0,44.0,,,,,Capped,75,Ibrahim Zadran
275,304,305,43,AL5,Sean,Abbott,Australia,,29/02/1992,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,24.0,20.0,3.0,"RCB,SRH",,,Capped,200,Sean Abbott
276,305,306,43,AL5,Jacob                               Bethell                    England,,,,23/10/2003,21,ALL-ROUNDER,LHB       LEFT ARM Slow Orthodox,,,6.0,2.0,,,,,Capped,125,
